"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","APPLE SPRINGS VFD - APPLE SPRINGS VFD","14755 N ST HWY 94 APPLE SPRINGS TX 75926 ","EARLY VOTING","02/18/2020-02/22/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","AVFD - APPLE SPRINGS VFD","14755 N SH 94 APPLE SPRINGS TX 75926 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","BALDWIN CHAPEL - BALDWIN CHAPEL","288 M.L.K. JR. DR. GROVETON TX 75845 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","CALVARY BAPTIST CHURCH - FELLOWSHIP HALL","4712 FM 357 KENNARD TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","CENTERVILLE SCHOOL - CENTERVILLE SCHOOL","10327 N. SH 94 GROVETON TX 75845 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","CHITA BAPTIST CHURCH - CHITA BAPTIST CHURCH","10959 FM 355 TRINITY TX 75862 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","EAST PRAIRIE CHURCH OF CHRIST - EAST PRAIRIE CHURCH OF CHRIST","138 NORSWORTHY LANE GROVETON TX 75845 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","FRIDAY COMMUNITY CENTER - FRIDAY COMMUNITY CENTER","4198 FM 1280 GROVETON TX 75862 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","GLENDALE METHODIST CHURCH - GLENDALE METHODIST CHURCH","184 GLENDALE CHURCH RD. TRINITY TX 75862 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TRINITY","GROVETON COMMUNITY CENTER - GROVETON COMMUNITY CENTER","147 FAIR LOOP GROVETON TX 75845 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","12"
