"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","1ST BAPTIST CHURCH - FELLOWSHIP HALL","12676 HWY 92 S SPURGER TX 77660 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","14"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","BETHANY BAPTIST CHURCH - FELLOWSHIP HALL","1880 CR 2570 COLMESNEIL TX 75938 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","BETHEL BAPTIST CHURCH - FELLOWSHIP HALL","334 FM 1943 WEST WARREN TX 77664 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","CHESTER BAPTIST CHURCH - FELLOWSHIP HALL","132 PEACHTREE DRIVE CHESTER TX 75936 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","COMMUNITY CENTER - COMMUNITY CENTER","204 WEST ELDER ST. COLMESNEIL TX 75938 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","EBENEEZER CHURCH FELLOWSHIP HALL - FELLOWSHIP HALL","699 CR 3625 WOODVILLE TX 75938 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","FAIRVIEW BAPTIST - FELLOWSHIP HALL","1341 FM 92 WOODVILLE TX 75979 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","FIRE STATION - MEETING ROOM","215 WALT DAVIS DR. WOODVILLE TX 75979 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","18"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","FRED ELEM SCHOOL - OLD PRE K BLDG","140 CR 4650 FRED TX 77616 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","15"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","HILLISTER FIRST BAPTIST CHURCH - FELLOWSHIP HALL","258 FM 1013 HILLISTER TX 77624 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","LIONS DEN - LIONS DEN (WOODVILLE)","775 HWY 190 E WOODVILLE TX 75979 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","17"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","MASONIC LODGE (WOODVILLE) - RECEPTION ROOM","390 HOLLY WOODVILLE TX 75979 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","TYLER","NUTRITION CENTER - CONFERENCE ROOM","201 WILLOW WOODVILLE TX 75979 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
