"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ASHLAND MASONIC LODGE #1138 - ASHLAND MASONIC LODGE #1138","10478 STATE HWY 154 DIANA TX 75640 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ASSEMBLY OF GOD CHURCH - ASSEMBLY OF GOD CHURCH","1060 US HWY 271 N GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","BIG SANDY ISD - BIG SANDY ISD HIGH SCHOOL GYM","1 WILDCAT DR. BIG SANDY TX 75755 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","EAST MOUNTAIN COMMUNITY CENTER - EAST MOUNTAIN COMMUNITY CENTER","103 MUNICIPAL DR GILMER TX 75645 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ENON COMMUNITY CENTER - ENON COMMUNITY CENTER","5223 ARMADILLO RD GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","FRONTIER COWBOY CHURCH - FRONTIER COWBOY CHURCH","2791 FM 593 GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","GLENWOOD WATER DEPARTMENT - GLENWOOD WATER DEPARTMENT","6792 FM 726 S GILMER TX 75645 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","INDIAN ROCK BAPTIST CHURCH - INDIAN ROCK BAPTIST CHURCH","4944 ST HWY 154 E GILMER TX 75645 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","OAK HILL BAPTIST CHURCH - OAK HILL BAPTIST CHURCH","3084 FM 2088 GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ORE CITY COMMUNITY CENTER - ORE CITY COMMUNITY CENTER","408 ALTHEA ORE CITY TX 75683 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","PRITCHETT COMMUNITY CENTER - PRITCHETT COMMUNITY CENTER","1092 FM 1404 BIG SANDY TX 75755 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ROSEWOOD BAPTIST CHURCH - ROSEWOOD BAPTIST CHURCH","8261 ARROWWOOD RD GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","SIMPSONVILLE FIRE DEPARTMENT - SIMPSONVILLE FIRE DEPARTMENT","10282 FM 556 GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","ST. JAMES BAPTIST CHURCH - ST. JAMES BAPTIST CHURCH","2800 W. COMMERCE GLADEWATER TX 75647 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","UPSHUR COUNTY COURTHOUSE - COURTHOUSE","100 TYLER ST GILMER TX 75644 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 10:00 AM-03:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","UPSHUR COUNTY LIBRARY - UPSHUR COUNTY LIBRARY","702 W TYLER GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","UPSHUR","WALNUT CREEK BAPTIST CHURCH - WALNUT CREEK BAPTIST CHURCH","1969 N SEGO LILY RD DIANA TX 75640 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","ASHLAND MASONIC LODGE #1138 - ASHLAND MASONIC LODGE #1138","10478 STATE HWY 154 DIANA TX 75640 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","ASSEMBLY OF GOD CHURCH - ASSEMBLY OF GOD CHURCH","1060 US HWY 271 N GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","BIG SANDY ISD - BIG SANDY ISD HIGH SCHOOL GYM","1 WILDCAT DR. BIG SANDY TX 75755 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","EAST MOUNTAIN COMMUNITY CENTER - EAST MOUNTAIN COMMUNITY CENTER","103 MUNICIPAL DR GILMER TX 75645 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","ENON COMMUNITY CENTER - ENON COMMUNITY CENTER","5223 ARMADILLO RD GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","FRONTIER COWBOY CHURCH - FRONTIER COWBOY CHURCH","2791 FM 593 GILMER TX 75644 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","UPSHUR","GLENWOOD WATER DEPARTMENT - GLENWOOD WATER DEPARTMENT","6792 FM 726 S GILMER TX 75645 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 3, 4, 5, 6, 7, 8, 9"
