"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","35 PLAZA LLC - ED","5810  SAN BERNARDO AVE LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","407"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","A. GUTIERREZ ELEMENTARY SCHOOL - ED","505 W. CALLE DEL NORTE LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","309"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","ALEXANDER HIGH SCHOOL - ALEXANDER HIGH SCHOOL","3600 DEL MAR LAREDO TX 78045 ","EARLY VOTING","02/18/2020-02/18/2020 08:00 AM-05:00 PM","448"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","ALMA PIERCE ELEMENTARY SCHOOL - ED","800 E. EISTETTER ST. LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","311"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BILLY HALL ADMIN BUILDING - EARLY VOTING","1110 WASHINGTON LAREDO TX 78040 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM","401"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BORCHERS ELEMENTARY SCHOOL - ED","9551 BACKWOODS TRAIL LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","356"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BORDER REGION M.H.M.R. - BORDER REGION EV","1500 PAPPAS LAREDO TX 78045 ","EARLY VOTING","02/26/2020-02/26/2020 08:00 AM-06:00 PM","417"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BP NEWMAN ELEMENTARY SCHOOL - ED","1300 ALTA VISTA DR LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","239"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BRUNI C. CENTER EV - BRUNI COMM CENTER","303 E. 12TH STREET BRUNI TX 78344 ","EARLY VOTING","02/23/2020-02/23/2020 01:00 PM-06:00 PM","237"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BRUNI COMMUNITY CENTER - ED","303 E. 12TH ST. BRUNI TX 78344 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","237"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","BRUNI ELEMENTARY SCHOOL - ED","1502 SAN EDUARDO AVE LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","414"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CALLGHAN RANCH - ED","35 I H 35 N. 27 MILES LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","350"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CENTENO ELEMENTARY - ED","2710 PITA MANGANA LAREDO TX 78046 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","169"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CHIST EPISCOPAL CHURCH - ED","2320 E. LANE LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","221"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CHRIST MIRACLE CENTER - ED","4400 SANDERS AVE LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","310"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CIGARROA HIGH SCHOOL EV - CIGARROA HIGH SCHOOL","2600 ZACATECAS ST. LAREDO TX 78046 ","EARLY VOTING","02/20/2020-02/20/2020 08:00 AM-05:00 PM","128"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CITY HALL ANNEX BUILDING - EARLY VOTING","1102 BOB BULLOCK LOOP LAREDO TX 78043 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 01:00 AM-06:00 PM; 02/24/2020-02/28/2020 08:00 AM-08:00 PM","266"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CITY HALL ANNEX BUILDING - ED","1102 BOB BULLOCK LP LAREDO TX 78043 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","266"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CITY HALL OF LAREDO EV - CITY HALL","1110 HOUSTON ST. LAREDO TX 78040 ","EARLY VOTING","02/24/2020-02/24/2020 08:00 AM-06:00 PM","341"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CLARK ELEMENTARY SCHOOL - ED","500 HILLSIDE LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","308"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","COL. SANTOS BENAVIDES ELEM. SCHOOL - ED","10702 KIRBY LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","344"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","CUELLAR ELEMENTARY SCHOOL - ED","6431 CASA DEL SOL BLVD LAREDO TX 78043 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","267"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","DAICHES ELEMENTARY SCHOOL - ED","1401 GREEN ST LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","423"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","DD HACHAR ELEMENTARY LISD - ED","3000 GUADALUPE ST. LAREDO TX 78043 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","164"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","DOCTOR'S HOSPITAL - DOCTOR'S HOSPITAL","10700 MCPHERSON RD. LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","359"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","DOCTORS HOSPITAL - ED","10700 MCPHERSON LAREDO TX 78045 ","EARLY VOTING","02/27/2020-02/28/2020 08:00 AM-08:00 PM","359"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","DON JOSE GALLEGO ELEM. SCHOOL - ED","520 CLARK BLVD LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","413"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","E. SALINAS COMM CENTE EV - E. SALINAS COMM CENTER","917 N. MAIN MIRANDO CITY MIRANDO TX 78369 ","EARLY VOTING","02/22/2020-02/22/2020 09:00 AM-07:00 PM","136"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","E. SALINAS COMMUNITY CENTER - ED","917 N. MAIN LAREDO TX 78040 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","136"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","EL CENIZO COMMUNITY CENTER - EARLY VOTING","3519 CECILIA LN EL CENIZO TX 78046 ","EARLY VOTING","02/23/2020-02/23/2020 01:00 AM-06:00 PM","135"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","EL CENIZO COMMUNITY CENTER - ED","3519 ESPEJO MOLINA RD LAREDO TX 78046 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","135"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","F & A BRUNI COMMUNITY CENTER - ED","452 RANCHO PENITAS BRUNI TX 78344 ","EARLY VOTING","02/22/2020-02/22/2020 09:00 AM-07:00 PM","448"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","F&A BRUNI COMM. CTR. - F&A BRUNI COMM CTR.","452 RANCHO PENITAS LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","448"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","F.S. LARA ACADEMY - ED","2901 E. TRAVIS ST LAREDO TX 78043 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","220"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","FARIAS ELEMENTARY SCHOOL - ED","1510 CHICAGO ST. LAREDO TX 78041 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","465"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","FINLEY ELEMENTARY - ED","2001 LOWRY RD LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","446"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","FINLEY ELEMENTARY SCHOOL - EARLY VOTING","2001 LOWRY LN LAREDO TX 78045 ","EARLY VOTING","02/18/2020-02/21/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 08:00 AM-08:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 08:00 AM-08:00 PM","446"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WEBB","G. WASHINGTON MIDDLE SCHOOL - ED","10306 RIVER BANK DR. LAREDO TX 78045 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","458"
