"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WHEELER","SHAMROCK CITY HALL (E) - CITY HALL OFFICE","116 WEST 2ND STREET SHAMROCK TX 79079 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-04:30 PM","1, 10, 2, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WHEELER","SHAMROCK CITY HALL ANNEX - SHAMROCK CITY HALL ANNEX","116 WEST 2ND SHAMROCK TX 79079 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WHEELER","WHEELER COUNTY COURTHOUSE - COMMISSIONERS COURTROOM","401 MAIN STREET WHEELER TX 79096 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1, 10, 2, 3, 4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WHEELER","WHEELER COURTHOUSE (E) - COUNTY CLERK'S OFFICE","401 MAIN STREET WHEELER TX 79096 ","EARLY VOTING","02/18/2020-02/20/2020 08:00 AM-05:00 PM; 02/21/2020-02/21/2020 08:00 AM-12:00 PM; 02/24/2020-02/27/2020 08:00 AM-05:00 PM; 02/28/2020-02/28/2020 08:00 AM-12:00 PM","1, 10, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","ALLISON METHODIST CHURCH - FRONT ENTRANCE FOYER","521 GRIMSLEY ST ALLISON TX 79003 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","COUNTY COMM. OFFICE  PCT #3 - COUNTY COMMISSIONER OFFICE  PCT #3","I-40 WEST LELA EXIT, LELA TX 79079 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","6"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","FIRST STATE BANK - BOARD MEETING ROOM","101 S. WHEELER ST. MOBEETIE TX 79061 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","FORT ELLIOTT SCHOOL-BRISCOE - SCHOOL","501 WILSON BRISCOE TX 79011 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","10"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","GIRL SCOUT HUT - GIRL SCOUT HUT","S CANADIAN ST. BEHIND LIBRARY WHEELER TX ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","HEALD METHODIST CHURCH - BASEMENT","FM 1443 WHEELER TX 79096 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","5"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","KELTON SCHOOL - BUSINESS OFFICE","16703 FM 2697 WHEELER TX 79096 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","SHAMROCK CITY HALL (E) - CITY HALL OFFICE","116 WEST 2ND STREET SHAMROCK TX 79079 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-04:30 PM","1, 10, 2, 3, 4, 5, 6, 7, 8, 9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","SHAMROCK CITY HALL ANNEX - SHAMROCK CITY HALL ANNEX","116 WEST 2ND SHAMROCK TX 79079 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","8"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","SHAMROCK SCHOOL - OLD BUSINIESS OFFICE","100 S ILLINOIS SHAMROCK TX 79079 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","WHEELER COUNTY COURTHOUSE - COMMISSIONERS COURTROOM","401 MAIN STREET WHEELER TX 79096 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WHEELER","WHEELER COURTHOUSE (E) - COUNTY CLERK'S OFFICE","401 MAIN STREET WHEELER TX 79096 ","EARLY VOTING","02/18/2020-02/20/2020 08:00 AM-05:00 PM; 02/21/2020-02/21/2020 08:00 AM-12:00 PM; 02/24/2020-02/27/2020 08:00 AM-05:00 PM; 02/28/2020-02/28/2020 08:00 AM-12:00 PM","1, 10, 2, 3, 4, 5, 6, 7, 8, 9"
