"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","ANDERSON MILL LIMITED DISTRICT - ANDERSON MILL LIMITED DISTRICT","11500 EL SALIDO PKWY AUSTIN TX 78750 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","ANDERSON MILL LIMITED DISTRICT - ANDERSON MILL LIMITED DISTRICT","11500 EL SALIDO PKWY AUSTIN TX 78750 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","ANDICE COMMUNITY CENTER - ANDICE COMMUNITY CENTER","6600 FM 970 FLORENCE TX 76527 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BACA SENIOR CENTER - BLDG 2, MEETING ROOM 3","301 W BAGDAD AVE ROUND ROCK TX 78664 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BACA SENIOR CENTER - BLDG 2, MEETING ROOM 3","301 W BAGDAD AVE ROUND ROCK TX 78664 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BARTLETT TOWN HALL - BARTLETT TOWN HALL","140 W CLARK ST BARTLETT TX 76511 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BETHANY UNITED METHODIST CHURCH - BETHANY UNITED METHODIST CHURCH","10010 ANDERSON MILL RD AUSTIN TX 78750 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BRUSHY CREEK COMMUNITY CENTER - MAPLE ROOM","16318 GREAT OAKS DR ROUND ROCK TX 78681 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","BRUSHY CREEK COMMUNITY CENTER - MAPLE ROOM","16318 GREAT OAKS DR ROUND ROCK TX 78681 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK HIGH SCHOOL - SOUTH PAC FOYER","2150 CYPRESS CREEK RD CEDAR PARK TX 78613 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK LIBRARY - CEDAR PARK LIBRARY","550 DISCOVERY BLVD CEDAR PARK TX 78613 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK LIBRARY - CEDAR PARK LIBRARY","550 DISCOVERY BLVD CEDAR PARK TX 78613 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK RANDALLS - CEDAR PARK RANDALLS","1400 CYPRESS CREEK RD CEDAR PARK TX 78613 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK RANDALLS - CEDAR PARK RANDALLS","1400 CYPRESS CREEK RD CEDAR PARK TX 78613 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR PARK RECREATION CENTER - CEDAR PARK RECREATION CENTER","1435 MAIN ST CEDAR PARK TX 78613 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","CEDAR RIDGE HIGH SCHOOL - CEDAR RIDGE HIGH SCHOOL","2801 GATTIS SCHOOL RD ROUND ROCK TX 78664 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","COWAN CREEK AMENITY CENTER - COWAN CREEK AMENITY CENTER","1433 COOL SPRING WAY GEORGETOWN TX 78633 ","EARLY VOTING","02/18/2020-02/22/2020 07:00 AM-07:00 PM; 02/23/2020-02/23/2020 01:00 PM-06:00 PM; 02/24/2020-02/28/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","COWAN CREEK AMENITY CENTER - COWAN CREEK AMENITY CENTER","1433 COOL SPRING WAY GEORGETOWN TX 78633 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","FAIRFIELD INN & SUITES - FAIRFIELD INN & SUITES","13087 US HWY 183 N AUSTIN TX 78729 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","FERN BLUFF MUD COMMUNITY CENTER - FERN BLUFF MUD COMMUNITY CENTER","7320 WYOMING SPRINGS DR ROUND ROCK TX 78681 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","FIRST BAPTIST CHURCH - GRANGER - FIRST BAPTIST CHURCH - GRANGER","301 E MESQUITE  GRANGER TX 76530 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","FIRST BAPTIST CHURCH OF WEIR - FIRST BAPTIST CHURCH OF WEIR","315 FM 1105 WEIR TX 78674 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILLIAMSON","FIRST BAPTIST CHURCH-GEORGETOWN - FIRST BAPTIST CHURCH-GEORGETOWN","1333 W UNIVERSITY AVE GEORGETOWN TX 78628 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","119, 122, 135, 138, 140, 145, 146, 147, 149, 150, 151, 152, 160, 162, 172, 182, 185, 186, 189, 190, 197, 198, 201, 202, 204, 206, 207, 216, 218, 253, 254, 259, 263, 264, 266, 267, 273, 274, 275, 277, 278, 283, 287, 305, 309, 310, 311, 312, 314, 330, 331, 332, 333, 337, 339, 341, 342, 343, 344, 345, 368, 369, 370, 371, 379, 381, 392, 393, 394, 395, 396, 402, 403, 413, 415, 420, 423, 424, 425, 426, 427, 428, 429, 434, 436, 455, 456, 463, 480, 484, 488, 489, 490, 491"
