"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","AMERICAN LEGION HALL POST 38 - HALL","1412 4TH STREET FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","CANADA VERDE VFD - BUILDING","7529 FM 1303 FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","FATHER'S HEART MINISTRIES (FORMERLY OAKWOOD COUNTRY CHURCH - BUILDING","4848 FM 775 TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","311"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","FLORESVILLE IND. SCHOOL ANNEX - PORTABLE BLDG. BEHIND THE OLD GYM","1201 A FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","KOSCIUSKO PARISH HALL - 8161 FM 541 E","8161 FM 541 E. KOSCIUSKO TX 78160 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","LA VERNIA CITY HALL - CITY COUNCIL CHAMBER","102 E CHIHUAHUA ST LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","310"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","LA VERNIA CITY HALL - CITY COUNCIL CHAMBERS","102 E CHIHUAHUA ST LA VERNIA TX 78121 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 08:00 AM-08:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM","101, 102, 103, 104, 205, 206, 207, 208, 209, 310, 311, 312, 313, 414, 415, 416"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","LIFE CHURCH - FOYER","7079 FM 775 LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","SPJST HALL - 1156 FM 1303","1156 FM 1303 FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","SS WATER SUPPLY CORP - 10393 US HWY 87 W., LA VERNIA","10393 US HWY 87 W. LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","ST. JOHNS LUTHERAN CHURCH - HALL","1116 TITCOMB POTH TX 78147 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","STOCKDALE COMMUNITY BUILDING - 700 W. MAIN","700 W. MAIN STOCKDALE TX 78160 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","SUTHERLAND SPRINGS COMMUNITY BUILDING - 411 4TH ST., SUTHERLAND SPRG","411 4TH STREET SUTHERLAND SPRINGS TX 78161 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","THREE OAKS VFD AT DEWEES - 6689 FM 541 W., FLORESVILLE","6689 FM 541 W. FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","WILSON COUNTY COURT HOUSE ANNEX III - PREVIOUSLY PRIMARY SCHOOL LOCATED ON 4TH ST.","1103 4TH ST. FLORESVILLE TX ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 08:00 AM-08:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM","101, 102, 103, 104, 205, 206, 207, 208, 209, 310, 311, 312, 313, 414, 415, 416"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","WILSON COUNTY ESD #2 WILLIAM D. (BILL) KENNEY STATION - BUILDING","190 CIMARRON FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","416"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","WILSON COUNTY ESD #2, STATION #1 - ENTRY WAY","190 CIMARRON FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","416"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WILSON","WILSON COUNTY EXPO (FORMERLY WC SHOWBARN - HALL","435 ST HWY 97 E STOCKDALE TX 78161 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM",""
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","AMERICAN LEGION HALL POST 38 - HALL","1412 4TH STREET FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","206"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","CANADA VERDE VFD - BUILDING","7529 FM 1303 FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","103"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","FATHER'S HEART MINISTRIES (FORMERLY OAKWOOD COUNTRY CHURCH - BUILDING","4848 FM 775 TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","311"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","FLORESVILLE IND. SCHOOL ANNEX - PORTABLE BLDG. BEHIND THE OLD GYM","1201 A FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","102"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","KOSCIUSKO PARISH HALL - 8161 FM 541 E","8161 FM 541 E. KOSCIUSKO TX 78160 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","209"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","LA VERNIA CITY HALL - CITY COUNCIL CHAMBER","102 E CHIHUAHUA ST LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","310"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","LA VERNIA CITY HALL - CITY COUNCIL CHAMBERS","102 E CHIHUAHUA ST LA VERNIA TX 78121 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 08:00 AM-08:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM","101, 102, 103, 104, 205, 206, 207, 208, 209, 310, 311, 312, 313, 414, 415, 416"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","LIFE CHURCH - FOYER","7079 FM 775 LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","415"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","SPJST HALL - 1156 FM 1303","1156 FM 1303 FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","104"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","SS WATER SUPPLY CORP - 10393 US HWY 87 W., LA VERNIA","10393 US HWY 87 W. LA VERNIA TX 78121 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","312"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","ST. JOHNS LUTHERAN CHURCH - HALL","1116 TITCOMB POTH TX 78147 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","205"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","STOCKDALE COMMUNITY BUILDING - 700 W. MAIN","700 W. MAIN STOCKDALE TX 78160 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","414"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","SUTHERLAND SPRINGS COMMUNITY BUILDING - 411 4TH ST., SUTHERLAND SPRG","411 4TH STREET SUTHERLAND SPRINGS TX 78161 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","313"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","THREE OAKS VFD AT DEWEES - 6689 FM 541 W., FLORESVILLE","6689 FM 541 W. FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","208"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","WILSON COUNTY COURT HOUSE ANNEX III - PREVIOUSLY PRIMARY SCHOOL LOCATED ON 4TH ST.","1103 4TH ST. FLORESVILLE TX ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/20/2020-02/20/2020 08:00 AM-08:00 PM; 02/22/2020-02/22/2020 08:00 AM-05:00 PM","101, 102, 103, 104, 205, 206, 207, 208, 209, 310, 311, 312, 313, 414, 415, 416"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","WILSON COUNTY ESD #2 WILLIAM D. (BILL) KENNEY STATION - BUILDING","190 CIMARRON FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","101"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","WILSON COUNTY ESD #2, STATION #1 - ENTRY WAY","190 CIMARRON FLORESVILLE TX 78114 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","416"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","WILSON","WILSON COUNTY EXPO (FORMERLY WC SHOWBARN - HALL","435 ST HWY 97 E STOCKDALE TX 78161 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","207"
