"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","AG EXTENSION BLDG - KITCHEN","206 S. STATE DECATUR TX 76234 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2, 22"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","ALVORD CITY HALL ED - COUNCIL CHAMBERS","215 W ELM ALVORD TX 76225 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","ALVORD CITY HALL EV - COUNCIL CHAMBERS","215 W. ELM ALVORD TX 76225 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/22/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 22, 23, 24, 25, 27, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","ASSUMPTION CATHOLIC CHURCH - GREAT HALL","1305 S. DEER PARK  DECATUR TX 76234 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","7, 8"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BOONSVILLE COMMUNITY CENTER - COMMUNITY CENTER","292 CR 3743 BRIDGEPORT TX 76426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","16"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BOYD COMMUNITY CENTER ED - COMMUNITY CENTER","420 E MORTON AVE BOYD TX 76023 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","23, 25, 27"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BOYD COMMUNITY CENTER EV - COMMUNITY CENTER","420 E MORTON AVE BOYD TX 76023 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/22/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 22, 23, 24, 25, 27, 3, 4, 5, 6, 7, 8, 9"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BRIDGEPORT COMMUNITY CENTER - COMMUNITY CENTER","1102 LAWDWIN BRIDGEPORT TX 76426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","18"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BRIDGEPORT HIGH SCHOOL - ANIMAL SCIENCE FACILITY-ROOM A102","1 MAROON DR BRIDGEPORT TX 76426 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","13"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WISE","BRIDGEPORT LAW ENFORCEMENT CENTER - COMMUNITY ROOM","1000 THOMPSON ST BRIDGEPORT TX 76426 ","EARLY VOTING","02/18/2020-02/18/2020 07:00 AM-07:00 PM; 02/19/2020-02/22/2020 08:00 AM-05:00 PM; 02/24/2020-02/24/2020 08:00 AM-05:00 PM; 02/25/2020-02/25/2020 07:00 AM-07:00 PM; 02/26/2020-02/28/2020 08:00 AM-05:00 PM","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 22, 23, 24, 25, 27, 3, 4, 5, 6, 7, 8, 9"
