"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","ALBA COMMUNITY CENTER 13 - ALBA COMMUNITY CENTER 13","106 N HOPKINS ST ALBA TX 75410 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1-3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","CARROLL GREEN CIVIC CENTER 11 - CARROLL GREEN CIVIC CENTER 11","602 MCALLISTER ST QUITMAN TX 75783 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1-1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","FIRST UNITED METHODIST MINISTRIES CENTER - MINEOLA, TX","612 N NEWSOM ST MINEOLA TX 75773 ","EARLY VOTING","02/27/2020-02/28/2020 09:00 AM-05:00 PM","1-1, 1-2, 1-3, 1-4, 2-1, 2-2, 2-3, 3-1, 3-2, 3-3, 4-1, 4-2, 4-3, 4-4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","FIRST UNITED METHODIST MINISTRIES CENTER - MINEOLA, TX","612 N NEWSOM ST MINEOLA TX 75773 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","2-1, 2-3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","HAROLD SIMMONS COMMUNITY CENTER 14 - HAROLD SIMMONS COMMUNITY CENTER 14","5921 FM 779 GOLDEN TX 75444 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","1-4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","HAWKINS COMMUNITY CENTER 33 - HAWKINS COMMUNITY CENTER 33","301 LYNCH ST HAWKINS TX 75765 ","EARLY VOTING","02/27/2020-02/28/2020 09:00 AM-05:00 PM","1-1, 1-2, 1-3, 1-4, 2-1, 2-2, 2-3, 3-1, 3-2, 3-3, 4-1, 4-2, 4-3, 4-4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","HAWKINS COMMUNITY CENTER 33 - HAWKINS COMMUNITY CENTER 33","301 LYNCH ST HAWKINS TX 75765 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","3-3"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","HOLLY LAKE VFD 32 - HOLLY LAKE VFD 32","126 PR 7869 HOLLY LAKE RANCH TX 75765 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","3-2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","MINEOLA CITY HALL 22 - MINEOLA CITY HALL 22","300 GREENVILLE HWY MINEOLA TX 75773 ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","2-2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","QUITMAN CITY HALL 41/44 - QUITMAN CITY HALL 41/4-4","TX ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","4-1, 4-4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","WOOD","QUITMAN PUBLIC LIBRARY 31 - QUITMAN PUBLIC LIBRARY 31","TX ","ELECTION DAY","03/03/2020-03/03/2020 09:00 AM-05:00 PM","3-1"
