"ELECTION ID","ELECTION NAME","COUNTY NAME","POLL PLACE NAME","ADDRESS","POLLING PLACE TYPE","DATE AND TIMINGS","PRECINCTS"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","BATESVILLE ZAVALA COUNTY GOVERNMENT CENTER PCT. #1 - GOV'T CENTER PCT. #1","44 WEST AVENUE BATESVILLE TX 78872 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","COMMUNITY BUILDING, JP PRECINCT # 4 - COMMUNITY BUILDING, JP PCT. # 4","121 W. US HWY 57 LA PRYOR, TEXAS TX 78829 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","DISTRICT COURT ROOM - 200 E UVALDE ST","200 E UVALDE ST CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","LA PRYOR COMMUNITY BUILDING J. P. #4 - CMNTY BLDG","121 WEST U.S. HIGHWAY 57 LA PRYOR TX 78829 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","ZAVALA COUNTY COURTHOUSE - COMISSIONERS' COURTROOM","200 E. UVALDE ST. STE. 9, CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","ZAVALA COUNTY COURTHOUSE - COUNTY CLERK OFFICE","200 E UVALDE ST., STE #7 CRYSTAL CITY TX 78839 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","1A, 2, 3, 4A"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","ZAVALA COUNTY GOVERNMENT CENTER PCT. #1 - ZAVALA COUNTY GOV'T CENTER PCT. #1","44 WEST AVENUE BATESVILLE, TEXAS TX 78872 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44145","2020 MARCH 3RD DEMOCRATIC PRIMARY","ZAVALA","ZAVALA COUNTY ROAD DEPARTMENT - ZAVALA COUNTY ROAD DEPARTMENT","1700 N US HWY 83 CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3, 4A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","BATESVILLE ZAVALA COUNTY GOVERNMENT CENTER PCT. #1 - GOV'T CENTER PCT. #1","44 WEST AVENUE BATESVILLE TX 78872 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","COMMUNITY BUILDING, JP PRECINCT # 4 - COMMUNITY BUILDING, JP PCT. # 4","121 W. US HWY 57 LA PRYOR, TEXAS TX 78829 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","DISTRICT COURT ROOM - 200 E UVALDE ST","200 E UVALDE ST CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","LA PRYOR COMMUNITY BUILDING J. P. #4 - CMNTY BLDG","121 WEST U.S. HIGHWAY 57 LA PRYOR TX 78829 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","4"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","ZAVALA COUNTY COURTHOUSE - COMISSIONERS' COURTROOM","200 E. UVALDE ST. STE. 9, CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","2"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","ZAVALA COUNTY COURTHOUSE - COUNTY CLERK OFFICE","200 E UVALDE ST., STE #7 CRYSTAL CITY TX 78839 ","EARLY VOTING","02/18/2020-02/28/2020 08:00 AM-05:00 PM; 02/22/2020-02/22/2020 09:00 AM-03:00 PM","1A, 2, 3, 4A"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","ZAVALA COUNTY GOVERNMENT CENTER PCT. #1 - ZAVALA COUNTY GOV'T CENTER PCT. #1","44 WEST AVENUE BATESVILLE, TEXAS TX 78872 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","1"
"44146","2020 MARCH 3RD REPUBLICAN PRIMARY","ZAVALA","ZAVALA COUNTY ROAD DEPARTMENT - ZAVALA COUNTY ROAD DEPARTMENT","1700 N US HWY 83 CRYSTAL CITY TX 78839 ","ELECTION DAY","03/03/2020-03/03/2020 07:00 AM-07:00 PM","3, 4A"
