party,mode,year,daysbefore,n_early_cumulative
democratic,IN-PERSON,2020,-26,2
democratic,IN-PERSON,2020,-25,2
democratic,IN-PERSON,2020,-24,2
democratic,IN-PERSON,2020,-23,2
democratic,IN-PERSON,2020,-22,2
democratic,IN-PERSON,2020,-21,2
democratic,IN-PERSON,2020,-20,2
democratic,IN-PERSON,2020,-19,2
democratic,IN-PERSON,2020,-18,2
democratic,IN-PERSON,2020,-17,2
democratic,IN-PERSON,2020,-16,2
democratic,IN-PERSON,2020,-15,2
democratic,IN-PERSON,2020,-14,2
democratic,IN-PERSON,2020,-13,2
democratic,IN-PERSON,2020,-12,2
democratic,IN-PERSON,2020,-11,2
democratic,IN-PERSON,2016,-10,25320
democratic,IN-PERSON,2020,-10,40988
democratic,IN-PERSON,2016,-9,48943
democratic,IN-PERSON,2020,-9,76248
democratic,IN-PERSON,2016,-8,71733
democratic,IN-PERSON,2020,-8,109655
democratic,IN-PERSON,2016,-7,97230
democratic,IN-PERSON,2020,-7,153378
democratic,IN-PERSON,2016,-6,126334
democratic,IN-PERSON,2020,-6,199420
democratic,IN-PERSON,2016,-5,139949
democratic,IN-PERSON,2020,-5,222475
democratic,IN-PERSON,2016,-4,176308
democratic,IN-PERSON,2020,-4,272580
democratic,IN-PERSON,2016,-3,205587
democratic,IN-PERSON,2020,-3,330003
democratic,IN-PERSON,2016,-2,240913
democratic,IN-PERSON,2020,-2,398722
democratic,IN-PERSON,2016,-1,298437
democratic,IN-PERSON,2020,-1,492630
democratic,IN-PERSON,2016,0,402562
democratic,IN-PERSON,2020,0,679840
democratic,MAIL-IN,2020,-26,2944
democratic,MAIL-IN,2020,-25,5682
democratic,MAIL-IN,2020,-24,6394
democratic,MAIL-IN,2020,-23,7741
democratic,MAIL-IN,2020,-22,11099
democratic,MAIL-IN,2020,-21,12672
democratic,MAIL-IN,2020,-20,13020
democratic,MAIL-IN,2020,-19,13021
democratic,MAIL-IN,2020,-18,16723
democratic,MAIL-IN,2020,-17,19059
democratic,MAIL-IN,2020,-16,22426
democratic,MAIL-IN,2020,-15,25332
democratic,MAIL-IN,2020,-14,28514
democratic,MAIL-IN,2020,-13,28918
democratic,MAIL-IN,2020,-12,28918
democratic,MAIL-IN,2020,-11,29399
democratic,MAIL-IN,2016,-10,19633
democratic,MAIL-IN,2020,-10,33766
democratic,MAIL-IN,2016,-9,22069
democratic,MAIL-IN,2020,-9,37969
democratic,MAIL-IN,2016,-8,26558
democratic,MAIL-IN,2020,-8,43352
democratic,MAIL-IN,2016,-7,28891
democratic,MAIL-IN,2020,-7,47562
democratic,MAIL-IN,2016,-6,30760
democratic,MAIL-IN,2020,-6,50224
democratic,MAIL-IN,2016,-5,30890
democratic,MAIL-IN,2020,-5,51534
democratic,MAIL-IN,2016,-4,34544
democratic,MAIL-IN,2020,-4,57700
democratic,MAIL-IN,2016,-3,37004
democratic,MAIL-IN,2020,-3,62851
democratic,MAIL-IN,2016,-2,40389
democratic,MAIL-IN,2020,-2,68385
democratic,MAIL-IN,2016,-1,43499
democratic,MAIL-IN,2020,-1,74734
democratic,MAIL-IN,2016,0,46297
democratic,MAIL-IN,2020,0,80333
republican,IN-PERSON,2016,-10,30611
republican,IN-PERSON,2020,-10,34678
republican,IN-PERSON,2016,-9,60742
republican,IN-PERSON,2020,-9,70174
republican,IN-PERSON,2016,-8,91548
republican,IN-PERSON,2020,-8,103465
republican,IN-PERSON,2016,-7,127704
republican,IN-PERSON,2020,-7,147227
republican,IN-PERSON,2016,-6,165686
republican,IN-PERSON,2020,-6,179244
republican,IN-PERSON,2016,-5,180497
republican,IN-PERSON,2020,-5,191494
republican,IN-PERSON,2016,-4,232109
republican,IN-PERSON,2020,-4,231183
republican,IN-PERSON,2016,-3,277175
republican,IN-PERSON,2020,-3,277166
republican,IN-PERSON,2016,-2,340737
republican,IN-PERSON,2020,-2,322322
republican,IN-PERSON,2016,-1,434468
republican,IN-PERSON,2020,-1,379164
republican,IN-PERSON,2016,0,603392
republican,IN-PERSON,2020,0,474426
republican,MAIL-IN,2020,-26,3554
republican,MAIL-IN,2020,-25,5124
republican,MAIL-IN,2020,-24,5659
republican,MAIL-IN,2020,-23,6680
republican,MAIL-IN,2020,-22,8979
republican,MAIL-IN,2020,-21,9567
republican,MAIL-IN,2020,-20,9672
republican,MAIL-IN,2020,-19,9672
republican,MAIL-IN,2020,-18,12366
republican,MAIL-IN,2020,-17,13852
republican,MAIL-IN,2020,-16,15936
republican,MAIL-IN,2020,-15,18840
republican,MAIL-IN,2020,-14,20773
republican,MAIL-IN,2020,-13,20885
republican,MAIL-IN,2020,-12,20885
republican,MAIL-IN,2020,-11,21420
republican,MAIL-IN,2016,-10,20381
republican,MAIL-IN,2020,-10,24969
republican,MAIL-IN,2016,-9,22717
republican,MAIL-IN,2020,-9,26171
republican,MAIL-IN,2016,-8,26500
republican,MAIL-IN,2020,-8,28909
republican,MAIL-IN,2016,-7,29571
republican,MAIL-IN,2020,-7,33169
republican,MAIL-IN,2016,-6,31367
republican,MAIL-IN,2020,-6,35359
republican,MAIL-IN,2016,-5,31645
republican,MAIL-IN,2020,-5,35403
republican,MAIL-IN,2016,-4,37246
republican,MAIL-IN,2020,-4,40415
republican,MAIL-IN,2016,-3,40644
republican,MAIL-IN,2020,-3,42265
republican,MAIL-IN,2016,-2,45880
republican,MAIL-IN,2020,-2,45358
republican,MAIL-IN,2016,-1,49919
republican,MAIL-IN,2020,-1,48550
republican,MAIL-IN,2016,0,54816
republican,MAIL-IN,2020,0,52074
