party,mode,year,daysbefore,n_earlyvotes,n_early_cumulative
democratic,MAIL-IN,2020,-26,4219,4219
republican,MAIL-IN,2020,-26,5763,5763
democratic,MAIL-IN,2020,-25,3490,7709
republican,MAIL-IN,2020,-25,2604,8367
democratic,MAIL-IN,2020,-24,1261,8970
republican,MAIL-IN,2020,-24,1278,9645
democratic,MAIL-IN,2020,-23,1965,10935
republican,MAIL-IN,2020,-23,1672,11317
democratic,MAIL-IN,2020,-22,4077,15012
republican,MAIL-IN,2020,-22,3046,14363
democratic,MAIL-IN,2020,-21,2245,17257
republican,MAIL-IN,2020,-21,1340,15703
democratic,MAIL-IN,2020,-20,409,17666
republican,MAIL-IN,2020,-20,140,15843
democratic,MAIL-IN,2020,-19,1,17667
republican,MAIL-IN,2020,-19,4,15847
democratic,MAIL-IN,2020,-18,5046,22713
republican,MAIL-IN,2020,-18,4550,20397
democratic,MAIL-IN,2020,-17,2738,25448
republican,MAIL-IN,2020,-17,2131,22528
democratic,MAIL-IN,2020,-16,4489,29937
republican,MAIL-IN,2020,-16,3383,25911
democratic,MAIL-IN,2020,-15,3786,33723
republican,MAIL-IN,2020,-15,4001,29912
democratic,MAIL-IN,2020,-14,4333,38056
republican,MAIL-IN,2020,-14,3210,33121
democratic,MAIL-IN,2020,-13,600,38652
republican,MAIL-IN,2020,-13,211,33332
democratic,MAIL-IN,2020,-12,104,38756
republican,MAIL-IN,2020,-12,77,33409
democratic,MAIL-IN,2020,-11,707,39463
republican,MAIL-IN,2020,-11,861,34270
democratic,MAIL-IN,2020,-10,6674,46137
republican,MAIL-IN,2020,-10,6551,40821
democratic,MAIL-IN,2020,-9,5924,52056
republican,MAIL-IN,2020,-9,3106,43926
democratic,MAIL-IN,2020,-8,8564,60620
republican,MAIL-IN,2020,-8,5923,49848
democratic,MAIL-IN,2020,-7,6390,66999
republican,MAIL-IN,2020,-7,6674,56520
democratic,MAIL-IN,2020,-6,3754,70749
republican,MAIL-IN,2020,-6,3445,59958
democratic,MAIL-IN,2020,-5,1432,72181
republican,MAIL-IN,2020,-5,194,60152
democratic,MAIL-IN,2020,-4,9373,81554
republican,MAIL-IN,2020,-4,9094,69246
democratic,MAIL-IN,2020,-3,7001,88542
republican,MAIL-IN,2020,-3,4137,73350
democratic,MAIL-IN,2020,-2,8286,96799
republican,MAIL-IN,2020,-2,5987,79314
democratic,MAIL-IN,2020,-1,9439,106170
republican,MAIL-IN,2020,-1,6071,85329
democratic,MAIL-IN,2020,0,8577,113201
republican,MAIL-IN,2020,0,5929,88427
