,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,,16,
,ADAMS - TOWN OF BIG FLATS - WARD 1,2,,
,ADAMS - TOWN OF MONROE - WARD 1,1,,
,ADAMS - TOWN OF PRESTON - WARD 2,1,,
,ADAMS - TOWN OF QUINCY - WARD 1,1,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,1,
,ASHLAND - CITY OF ASHLAND - WARD 11,1,,
,ASHLAND - CITY OF ASHLAND - WARD 2,1,,
,ASHLAND - CITY OF ASHLAND - WARD 4,2,,
,ASHLAND - CITY OF ASHLAND - WARD 5,1,,
,ASHLAND - CITY OF ASHLAND - WARD 6,1,,
,ASHLAND - CITY OF ASHLAND - WARD 7,2,,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,1,
,ASHLAND - TOWN OF LA POINTE - WARD 1,1,,
,BARRON - CITY OF BARRON - WARD 3,1,,
,BARRON - CITY OF BARRON - WARD 5,1,,
,BARRON - CITY OF CHETEK - WARD 3,1,,
,BARRON - CITY OF RICE LAKE - WARD 10,3,,
,BARRON - CITY OF RICE LAKE - WARD 12,1,,
,BARRON - CITY OF RICE LAKE - WARD 3,1,,
,BARRON - CITY OF RICE LAKE - WARD 4,2,,
,BARRON - CITY OF RICE LAKE - WARD 7,1,,
,BARRON - CITY OF RICE LAKE - WARD 9,2,,
,BARRON - TOWN OF BARRON - WARD 2,1,,
,BARRON - TOWN OF BEAR LAKE - WARD 1,1,,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,1,3,
,BARRON - TOWN OF CUMBERLAND - WARD 1,1,,
,BARRON - TOWN OF DALLAS - WARD 1,,1,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,1,1,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,1,,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,1,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,1,1,
,BARRON - TOWN OF RICE LAKE - WARD 1,1,,
,BARRON - TOWN OF RICE LAKE - WARD 2,1,,
,BARRON - TOWN OF RICE LAKE - WARD 4,1,,
,BARRON - VILLAGE OF CAMERON - WARD 1,1,,
