,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,,1997,
,ADAMS - CITY OF ADAMS - WARD 1,58,7,
,ADAMS - CITY OF ADAMS - WARD 2,76,11,
,ADAMS - CITY OF ADAMS - WARD 3,37,7,
,ADAMS - CITY OF ADAMS - WARD 4,49,12,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,6,,
,ADAMS - TOWN OF ADAMS - WARD 1,163,16,
,ADAMS - TOWN OF ADAMS - WARD 2,64,3,
,ADAMS - TOWN OF ADAMS - WARD 3,16,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,82,4,
,ADAMS - TOWN OF BIG FLATS - WARD 2,136,16,
,ADAMS - TOWN OF COLBURN - WARD 1,53,4,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,71,6,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,191,18,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,29,3,
,ADAMS - TOWN OF EASTON - WARD 1,106,15,
,ADAMS - TOWN OF EASTON - WARD 2,97,5,
,ADAMS - TOWN OF JACKSON - WARD 1,116,9,
,ADAMS - TOWN OF JACKSON - WARD 2,133,11,
,ADAMS - TOWN OF LEOLA - WARD 1,52,5,
,ADAMS - TOWN OF LINCOLN - WARD 1,82,6,
,ADAMS - TOWN OF MONROE - WARD 1,117,9,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,64,6,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,78,4,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,11,3,
,ADAMS - TOWN OF NEW HAVEN - WARD,121,9,
,ADAMS - TOWN OF PRESTON - WARD 1,190,11,
,ADAMS - TOWN OF PRESTON - WARD 2,92,11,
,ADAMS - TOWN OF QUINCY - WARD 1,183,20,
,ADAMS - TOWN OF QUINCY - WARD 2,33,2,
,ADAMS - TOWN OF QUINCY - WARD 3,24,2,
,ADAMS - TOWN OF RICHFIELD - WARD 1,34,4,
,ADAMS - TOWN OF ROME - WARD 1,172,10,
,ADAMS - TOWN OF ROME - WARD 2,212,21,
,ADAMS - TOWN OF ROME - WARD 3,182,16,
,ADAMS - TOWN OF ROME - WARD 4,179,12,
