,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,,125,39,40,398,103,
,ADAMS - CITY OF ADAMS - WARD 1,,1,,,4,,
,ADAMS - CITY OF ADAMS - WARD 2,,2,,,7,,
,ADAMS - CITY OF ADAMS - WARD 3,,2,,,6,1,
,ADAMS - CITY OF ADAMS - WARD 4,,1,,,1,,
,ADAMS - TOWN OF ADAMS - WARD 1,,2,,,4,,
,ADAMS - TOWN OF ADAMS - WARD 2,,1,,,3,,
,ADAMS - TOWN OF ADAMS - WARD 3,,,,,1,1,
,ADAMS - TOWN OF BIG FLATS - WARD 1,,2,,,3,,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,1,,,3,,
,ADAMS - TOWN OF COLBURN - WARD 1,,,1,,2,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,2,,,5,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,,1,,,9,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,1,,,3,,
,ADAMS - TOWN OF EASTON - WARD 1,,1,,,3,,
,ADAMS - TOWN OF EASTON - WARD 2,,1,,1,5,,
,ADAMS - TOWN OF JACKSON - WARD 1,,1,1,,1,1,
,ADAMS - TOWN OF JACKSON - WARD 2,,7,1,2,7,3,
,ADAMS - TOWN OF LEOLA - WARD 1,,,,,4,,
,ADAMS - TOWN OF LINCOLN - WARD 1,,,,,3,,
,ADAMS - TOWN OF MONROE - WARD 1,,1,,,1,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,,1,,,2,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,,,,1,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,,,,1,1,
,ADAMS - TOWN OF NEW HAVEN - WARD,,7,,,11,2,
,ADAMS - TOWN OF PRESTON - WARD 1,,3,,,11,,
,ADAMS - TOWN OF PRESTON - WARD 2,,2,,,2,1,
,ADAMS - TOWN OF QUINCY - WARD 1,,3,,,7,1,
,ADAMS - TOWN OF QUINCY - WARD 2,,1,,,2,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,,,,2,,
,ADAMS - TOWN OF ROME - WARD 1,,3,,,10,,
,ADAMS - TOWN OF ROME - WARD 2,,3,,,5,1,
,ADAMS - TOWN OF ROME - WARD 3,,2,,,6,,
,ADAMS - TOWN OF ROME - WARD 4,,2,,,5,,
,ADAMS - TOWN OF ROME - WARD 5,,,,,2,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,,,,1,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,4,,,9,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,3,,,3,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,,1,,,3,2,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,,1,1,2,3,2,
,ASHLAND - CITY OF ASHLAND - WARD 1,,6,,,13,,
,ASHLAND - CITY OF ASHLAND - WARD 10,,4,1,,12,,
,ASHLAND - CITY OF ASHLAND - WARD 11,,4,,1,7,,
,ASHLAND - CITY OF ASHLAND - WARD 2,,6,,,8,,
,ASHLAND - CITY OF ASHLAND - WARD 3,,1,,,6,,
,ASHLAND - CITY OF ASHLAND - WARD 4,,10,1,,22,1,
,ASHLAND - CITY OF ASHLAND - WARD 5,,5,,1,11,2,
,ASHLAND - CITY OF ASHLAND - WARD 6,,8,1,,17,3,
,ASHLAND - CITY OF ASHLAND - WARD 7,,8,,1,21,1,
,ASHLAND - CITY OF ASHLAND - WARD 8,,3,1,,13,2,
,ASHLAND - CITY OF ASHLAND - WARD 9,,12,,,19,1,
,ASHLAND - CITY OF MELLEN - WARD 1,,1,,,1,,
,ASHLAND - TOWN OF AGENDA - WARD 1,,,,,1,,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,1,,1,4,1,
,ASHLAND - TOWN OF GINGLES - WARD 1,,3,,,10,1,
,ASHLAND - TOWN OF GORDON - WARD 2,,1,,,1,,
,ASHLAND - TOWN OF JACOBS - WARD 1,,,,,2,,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,2,,1,5,,
,ASHLAND - TOWN OF MARENGO - WARD 1,,1,,2,3,,
,ASHLAND - TOWN OF MARENGO - WARD 2,,,,1,3,,
,ASHLAND - TOWN OF MORSE - WARD 1,,2,,,5,,
,ASHLAND - TOWN OF MORSE - WARD 2,,,,,1,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,,,1,1,,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,1,,,1,,
,ASHLAND - TOWN OF SANBORN - WARD 2,,1,,,7,,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,3,,1,22,1,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,,,,4,,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,1,,,1,,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,,,,3,,
,BARRON - CITY OF BARRON - WARD 1,,2,,,11,,
,BARRON - CITY OF BARRON - WARD 2,,,,,5,,
,BARRON - CITY OF BARRON - WARD 3,,2,,,2,,
,BARRON - CITY OF BARRON - WARD 4,,1,,,1,,
,BARRON - CITY OF BARRON - WARD 5,,2,,,5,,
,BARRON - CITY OF BARRON - WARD 6,,1,,,1,,
,BARRON - CITY OF BARRON - WARD 7,,1,,,3,,
,BARRON - CITY OF CHETEK - WARD 1,,2,,,7,,
,BARRON - CITY OF CHETEK - WARD 2,,,,,2,,
,BARRON - CITY OF CHETEK - WARD 3,,2,,,6,,
,BARRON - CITY OF CHETEK - WARD 4,,2,,,2,1,
,BARRON - CITY OF CUMBERLAND - WARD 1,,4,,,9,,
,BARRON - CITY OF CUMBERLAND - WARD 2,,,,,2,,
,BARRON - CITY OF CUMBERLAND - WARD 3,,,,,4,,
,BARRON - CITY OF CUMBERLAND - WARD 4,,2,,,7,,
,BARRON - CITY OF RICE LAKE - WARD 1,,2,,,4,,
,BARRON - CITY OF RICE LAKE - WARD 10,,4,,,9,,
,BARRON - CITY OF RICE LAKE - WARD 11,,1,,,3,,
,BARRON - CITY OF RICE LAKE - WARD 12,,7,1,,21,,
,BARRON - CITY OF RICE LAKE - WARD 13,,3,,1,10,3,
,BARRON - CITY OF RICE LAKE - WARD 2,,2,,,13,,
,BARRON - CITY OF RICE LAKE - WARD 3,,3,1,,10,1,
,BARRON - CITY OF RICE LAKE - WARD 4,,4,,,7,1,
,BARRON - CITY OF RICE LAKE - WARD 5,,2,,,8,,
,BARRON - CITY OF RICE LAKE - WARD 6,,2,,,7,,
,BARRON - CITY OF RICE LAKE - WARD 7,,1,,,1,,
,BARRON - CITY OF RICE LAKE - WARD 8,,1,,,13,1,
,BARRON - CITY OF RICE LAKE - WARD 9,,4,,,6,,
,BARRON - TOWN OF ALMENA - WARD 1,,2,,,6,,
,BARRON - TOWN OF ALMENA - WARD 2,,3,,,3,1,
,BARRON - TOWN OF ARLAND - WARD 1,,4,,,9,,
,BARRON - TOWN OF BARRON - WARD 1,,2,,,8,1,
,BARRON - TOWN OF BARRON - WARD 2,,3,,,5,,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,2,,,9,1,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,,5,,,13,,
,BARRON - TOWN OF CHETEK - WARD 1,1,3,,,5,1,
,BARRON - TOWN OF CHETEK - WARD 2,,,,,12,1,
,BARRON - TOWN OF CLINTON - WARD 1,,,,,2,,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,,,,3,,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,7,,,12,,
,BARRON - TOWN OF DALLAS - WARD 1,,4,,,6,,
,BARRON - TOWN OF DOVRE - WARD 1,,2,,,9,1,
,BARRON - TOWN OF DOYLE - WARD 1,,1,,,3,,
,BARRON - TOWN OF DOYLE - WARD 2,,2,,,3,1,
,BARRON - TOWN OF LAKELAND - WARD 1,,,,,1,,
,BARRON - TOWN OF LAKELAND - WARD 2,,7,1,1,14,2,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,4,,,7,,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,2,,,4,,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,3,,,6,1,
,BARRON - TOWN OF OAK GROVE - WARD 1,,2,,,6,,
,BARRON - TOWN OF OAK GROVE - WARD 2,,1,,,2,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,,,,2,,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,4,,,6,,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,3,,,7,2,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,5,,,13,,
,BARRON - TOWN OF RICE LAKE - WARD 1,,5,,,9,,
,BARRON - TOWN OF RICE LAKE - WARD 2,,5,,,8,,
,BARRON - TOWN OF RICE LAKE - WARD 3,,3,,,10,,
,BARRON - TOWN OF RICE LAKE - WARD 4,,3,,1,5,2,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,4,1,,9,,
,BARRON - TOWN OF STANFOLD - WARD 1,,3,,,7,,
,BARRON - TOWN OF STANLEY - WARD 1,,5,,,12,1,
,BARRON - TOWN OF STANLEY - WARD 2,,2,,,8,,
,BARRON - TOWN OF STANLEY - WARD 3,,1,,,8,,
,BARRON - TOWN OF STANLEY - WARD 4,,3,,,6,,
,BARRON - TOWN OF SUMNER - WARD 1,,5,1,,15,1,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,,,,,8,,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,4,,,7,,
,BARRON - VILLAGE OF ALMENA - WARD 1,,3,,,4,,
,BARRON - VILLAGE OF CAMERON - WARD 1,,4,,,17,1,
,BARRON - VILLAGE OF CAMERON - WARD 2,,1,,1,5,,
,BARRON - VILLAGE OF CAMERON - WARD 3,,,,,1,,
,BARRON - VILLAGE OF DALLAS - WARD 1,,1,,,3,,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,,,,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,1,,,5,1,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,2,,1,6,1,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,2,,,3,1,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,1,,,2,,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,2,,,2,,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,1,,,2,,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,4,,,3,,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,3,,,6,1,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,7,,,15,,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,1,,,8,,
,BAYFIELD - TOWN OF BARNES - WARD 1,,3,,,8,,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,,1,,,6,,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,2,,,7,,
,BAYFIELD - TOWN OF BELL - WARD 1,,1,,,2,,
,BAYFIELD - TOWN OF CABLE - WARD 1,,5,,,10,2,
,BAYFIELD - TOWN OF CLOVER - WARD 1,,2,,,3,,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,,,,1,,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,2,,,3,,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,,1,,,3,,
,BAYFIELD - TOWN OF HUGHES - WARD 1,,3,,,8,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,,,,,1,1,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,,1,,,7,1,
,BAYFIELD - TOWN OF KELLY - WARD 1,,2,,,6,,
,BAYFIELD - TOWN OF KEYSTONE - WARD 1,,,,,4,,
,BAYFIELD - TOWN OF LINCOLN - WARD 1,,2,,,4,,
,BAYFIELD - TOWN OF MASON - WARD 1,,3,,,3,1,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,,,,,1,,
,BAYFIELD - TOWN OF ORIENTA - WARD 1,,,,,1,,
,BAYFIELD - TOWN OF OULU - WARD 1,,3,,,9,,
,BAYFIELD - TOWN OF PILSEN - WARD 1,,2,1,1,1,,
,BAYFIELD - TOWN OF PORT WING - WARD 1,,3,,,3,,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,,1,,,9,,
,BAYFIELD - TOWN OF RUSSELL - WARD 2,,3,,,5,,
,BAYFIELD - TOWN OF TRIPP - WARD 1,,1,,,3,,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,,5,,1,6,,
,BROWN - CITY OF DE PERE - WARD 1,,26,,1,42,1,
,BROWN - CITY OF DE PERE - WARD 10,,17,,2,31,3,
,BROWN - CITY OF DE PERE - WARD 11,,52,5,5,105,18,
,BROWN - CITY OF DE PERE - WARD 12,,22,,1,36,3,
,BROWN - CITY OF DE PERE - WARD 13,,16,,,33,1,
,BROWN - CITY OF DE PERE - WARD 14,,24,,,45,2,
,BROWN - CITY OF DE PERE - WARD 15,,24,,,45,1,
,BROWN - CITY OF DE PERE - WARD 18,,,,,1,,
