,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,57,3654,1419,579,7430,5443,
,ADAMS - CITY OF ADAMS - WARD 1,,48,1,1,132,99,
,ADAMS - CITY OF ADAMS - WARD 2,,86,2,1,195,132,
,ADAMS - CITY OF ADAMS - WARD 3,,39,3,,92,72,
,ADAMS - CITY OF ADAMS - WARD 4,1,84,2,,121,96,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,,8,1,,15,11,
,ADAMS - TOWN OF ADAMS - WARD 1,,125,10,5,302,240,
,ADAMS - TOWN OF ADAMS - WARD 2,,43,7,1,115,88,
,ADAMS - TOWN OF ADAMS - WARD 3,,16,,,31,21,
,ADAMS - TOWN OF BIG FLATS - WARD 1,1,56,2,,144,105,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,96,10,3,222,174,
,ADAMS - TOWN OF COLBURN - WARD 1,,40,2,,85,68,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,62,2,,158,115,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,5,201,10,3,391,295,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,30,2,1,57,31,
,ADAMS - TOWN OF EASTON - WARD 1,3,75,2,5,175,134,
,ADAMS - TOWN OF EASTON - WARD 2,,69,1,,165,121,
,ADAMS - TOWN OF JACKSON - WARD 1,,121,10,3,214,154,
,ADAMS - TOWN OF JACKSON - WARD 2,,147,15,7,251,190,
,ADAMS - TOWN OF LEOLA - WARD 1,,33,1,1,104,80,
,ADAMS - TOWN OF LINCOLN - WARD 1,,79,3,,151,122,
,ADAMS - TOWN OF MONROE - WARD 1,,106,6,1,205,163,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,2,62,1,2,119,87,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,57,4,,143,98,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,,10,,,20,16,
,ADAMS - TOWN OF NEW HAVEN - WARD,,165,4,3,275,204,
,ADAMS - TOWN OF PRESTON - WARD 1,2,168,17,9,356,272,
,ADAMS - TOWN OF PRESTON - WARD 2,1,95,4,,187,140,
,ADAMS - TOWN OF QUINCY - WARD 1,,201,19,2,363,276,
,ADAMS - TOWN OF QUINCY - WARD 2,1,33,3,,65,42,
,ADAMS - TOWN OF QUINCY - WARD 3,,15,1,1,49,42,
,ADAMS - TOWN OF RICHFIELD - WARD 1,,34,2,,68,52,
,ADAMS - TOWN OF ROME - WARD 1,,207,9,1,292,240,
,ADAMS - TOWN OF ROME - WARD 2,,315,24,13,359,315,
,ADAMS - TOWN OF ROME - WARD 3,2,257,14,6,338,276,
,ADAMS - TOWN OF ROME - WARD 4,,249,17,7,308,273,
,ADAMS - TOWN OF ROME - WARD 5,,238,12,7,325,281,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,49,3,1,114,83,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,160,15,4,367,270,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,,120,1,4,210,158,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,1,118,8,1,202,155,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,,26,3,2,46,36,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,1,123,4,4,204,165,
,ASHLAND - CITY OF ASHLAND - WARD 1,,230,7,8,406,319,
,ASHLAND - CITY OF ASHLAND - WARD 10,,115,3,2,235,172,
,ASHLAND - CITY OF ASHLAND - WARD 11,,163,4,8,299,219,
,ASHLAND - CITY OF ASHLAND - WARD 2,,104,5,2,207,136,
,ASHLAND - CITY OF ASHLAND - WARD 3,,145,,6,250,186,
,ASHLAND - CITY OF ASHLAND - WARD 4,,245,5,5,397,281,
,ASHLAND - CITY OF ASHLAND - WARD 5,,209,5,4,334,208,
,ASHLAND - CITY OF ASHLAND - WARD 6,,108,9,5,232,147,
,ASHLAND - CITY OF ASHLAND - WARD 7,,128,4,11,327,123,
,ASHLAND - CITY OF ASHLAND - WARD 8,,142,7,8,258,159,
,ASHLAND - CITY OF ASHLAND - WARD 9,,118,,3,217,110,
,ASHLAND - CITY OF MELLEN - WARD 1,,87,2,1,182,150,
,ASHLAND - TOWN OF AGENDA - WARD 1,,66,,1,165,144,
,ASHLAND - TOWN OF ASHLAND - WARD 1,,81,4,2,211,165,
,ASHLAND - TOWN OF CHIPPEWA - WARD 1,,64,1,1,147,126,
,ASHLAND - TOWN OF GINGLES - WARD 1,,131,5,2,317,247,
,ASHLAND - TOWN OF GORDON - WARD 1,,19,1,1,35,28,
,ASHLAND - TOWN OF GORDON - WARD 2,,32,,,88,77,
,ASHLAND - TOWN OF JACOBS - WARD 1,,83,2,1,250,208,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,185,14,3,246,173,
,ASHLAND - TOWN OF MARENGO - WARD 1,,30,,3,75,58,
,ASHLAND - TOWN OF MARENGO - WARD 2,,36,,7,90,64,
,ASHLAND - TOWN OF MORSE - WARD 1,,66,3,1,152,124,
,ASHLAND - TOWN OF MORSE - WARD 2,,6,,,31,21,
,ASHLAND - TOWN OF MORSE - WARD 3,,9,,,18,16,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 1,,20,2,1,39,29,
,ASHLAND - TOWN OF PEEKSVILLE - WARD 2,,21,3,,44,38,
,ASHLAND - TOWN OF SANBORN - WARD 1,,18,1,,101,51,
,ASHLAND - TOWN OF SANBORN - WARD 2,,38,,,164,104,
,ASHLAND - TOWN OF SHANAGOLDEN - WARD 1,,42,1,,58,52,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,86,2,9,341,232,
,ASHLAND - TOWN OF WHITE RIVER - WARD 2,,10,,,32,25,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 1,,8,,,17,10,
,ASHLAND - VILLAGE OF BUTTERNUT - WARD 2,,50,1,,102,72,
,BARRON - CITY OF BARRON - WARD 1,,202,9,2,314,233,
,BARRON - CITY OF BARRON - WARD 2,,110,2,,171,129,
,BARRON - CITY OF BARRON - WARD 3,,45,,2,67,51,
,BARRON - CITY OF BARRON - WARD 4,,44,1,1,84,61,
,BARRON - CITY OF BARRON - WARD 5,,70,,2,121,75,
,BARRON - CITY OF BARRON - WARD 6,,11,,,25,15,
,BARRON - CITY OF BARRON - WARD 7,,72,2,2,95,74,
,BARRON - CITY OF CHETEK - WARD 1,3,120,12,2,199,157,
,BARRON - CITY OF CHETEK - WARD 2,1,71,3,1,155,113,
,BARRON - CITY OF CHETEK - WARD 3,,85,2,4,157,115,
,BARRON - CITY OF CHETEK - WARD 4,6,116,3,1,223,179,
,BARRON - CITY OF CUMBERLAND - WARD 1,,90,4,2,192,117,
,BARRON - CITY OF CUMBERLAND - WARD 2,,175,1,2,279,217,
,BARRON - CITY OF CUMBERLAND - WARD 3,1,104,2,3,193,136,
,BARRON - CITY OF CUMBERLAND - WARD 4,1,116,3,1,202,141,
,BARRON - CITY OF RICE LAKE - WARD 1,,74,4,1,116,78,
,BARRON - CITY OF RICE LAKE - WARD 10,1,189,5,9,271,207,
,BARRON - CITY OF RICE LAKE - WARD 11,,187,7,1,251,204,
,BARRON - CITY OF RICE LAKE - WARD 12,1,232,16,4,355,258,
,BARRON - CITY OF RICE LAKE - WARD 13,,39,3,1,85,43,
,BARRON - CITY OF RICE LAKE - WARD 2,,112,5,2,204,138,
,BARRON - CITY OF RICE LAKE - WARD 3,,170,3,5,259,194,
,BARRON - CITY OF RICE LAKE - WARD 4,,107,2,3,173,135,
,BARRON - CITY OF RICE LAKE - WARD 5,,235,9,6,343,269,
,BARRON - CITY OF RICE LAKE - WARD 6,,140,3,2,198,147,
,BARRON - CITY OF RICE LAKE - WARD 7,,56,,1,97,75,
,BARRON - CITY OF RICE LAKE - WARD 8,,72,3,1,156,105,
,BARRON - CITY OF RICE LAKE - WARD 9,,106,5,,139,103,
,BARRON - TOWN OF ALMENA - WARD 1,,93,3,,214,150,
,BARRON - TOWN OF ALMENA - WARD 2,,52,2,3,102,76,
,BARRON - TOWN OF ARLAND - WARD 1,,71,1,,193,108,
,BARRON - TOWN OF BARRON - WARD 1,,56,,,122,91,
,BARRON - TOWN OF BARRON - WARD 2,,65,4,,146,113,
,BARRON - TOWN OF BEAR LAKE - WARD 1,,108,6,2,269,196,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,1,363,21,7,614,417,
,BARRON - TOWN OF CHETEK - WARD 1,2,205,6,6,436,333,
,BARRON - TOWN OF CHETEK - WARD 2,1,147,6,8,274,203,
,BARRON - TOWN OF CLINTON - WARD 1,,85,2,,231,177,
,BARRON - TOWN OF CRYSTAL LAKE - WARD 1,,114,5,1,281,198,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,147,5,2,332,246,
,BARRON - TOWN OF DALLAS - WARD 1,,68,,1,191,134,
,BARRON - TOWN OF DOVRE - WARD 1,2,124,1,2,245,173,
,BARRON - TOWN OF DOYLE - WARD 1,,35,,3,83,62,
,BARRON - TOWN OF DOYLE - WARD 2,,43,,1,99,76,
,BARRON - TOWN OF LAKELAND - WARD 1,,36,,,79,53,
,BARRON - TOWN OF LAKELAND - WARD 2,,138,5,2,325,214,
,BARRON - TOWN OF MAPLE GROVE - WARD 1,,74,2,3,213,149,
,BARRON - TOWN OF MAPLE GROVE - WARD 2,,57,,2,124,95,
,BARRON - TOWN OF MAPLE PLAIN - WARD 1,,137,7,3,332,223,
,BARRON - TOWN OF OAK GROVE - WARD 1,,58,,,132,98,
,BARRON - TOWN OF OAK GROVE - WARD 2,,84,7,4,184,145,
,BARRON - TOWN OF PRAIRIE FARM - WARD 1,,40,,2,98,74,
,BARRON - TOWN OF PRAIRIE FARM - WARD 2,,43,1,,76,53,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,187,17,5,329,240,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 2,,123,,4,260,186,
,BARRON - TOWN OF RICE LAKE - WARD 1,,217,10,3,327,264,
,BARRON - TOWN OF RICE LAKE - WARD 2,,194,9,,294,233,
,BARRON - TOWN OF RICE LAKE - WARD 3,,111,3,4,193,144,
,BARRON - TOWN OF RICE LAKE - WARD 4,,146,3,2,213,170,
,BARRON - TOWN OF SIOUX CREEK - WARD 1,,126,4,2,228,170,
,BARRON - TOWN OF STANFOLD - WARD 1,,110,4,1,228,182,
,BARRON - TOWN OF STANLEY - WARD 1,,108,3,,207,137,
,BARRON - TOWN OF STANLEY - WARD 2,1,132,5,3,271,207,
,BARRON - TOWN OF STANLEY - WARD 3,1,87,,,170,128,
,BARRON - TOWN OF STANLEY - WARD 4,,104,2,1,199,146,
,BARRON - TOWN OF SUMNER - WARD 1,,105,4,,257,166,
,BARRON - TOWN OF TURTLE LAKE - WARD 1,1,40,2,2,167,119,
,BARRON - TOWN OF VANCE CREEK - WARD 1,,70,,,222,140,
,BARRON - VILLAGE OF ALMENA - WARD 1,,53,2,1,179,109,
,BARRON - VILLAGE OF CAMERON - WARD 1,,130,2,4,346,232,
,BARRON - VILLAGE OF CAMERON - WARD 2,,33,2,1,115,74,
,BARRON - VILLAGE OF CAMERON - WARD 3,,16,1,,35,23,
,BARRON - VILLAGE OF DALLAS - WARD 1,,46,,2,100,71,
,BARRON - VILLAGE OF HAUGEN - WARD 1,,26,1,,103,76,
,BARRON - VILLAGE OF NEW AUBURN - WARD 2,1,3,,,5,4,
,BARRON - VILLAGE OF NEW AUBURN - WARD 3,,,,,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,35,2,,109,84,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,75,4,2,219,140,
,BAYFIELD - CITY OF BAYFIELD - WARD 1,,44,3,,54,32,
,BAYFIELD - CITY OF BAYFIELD - WARD 2,,76,1,3,91,70,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,53,1,,77,57,
,BAYFIELD - CITY OF BAYFIELD - WARD 4,,59,,3,75,50,
,BAYFIELD - CITY OF WASHBURN - WARD 1,,300,7,10,362,292,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,107,12,4,157,102,
,BAYFIELD - CITY OF WASHBURN - WARD 3,,76,3,1,139,91,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,239,6,6,340,242,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,181,3,6,371,267,
,BAYFIELD - TOWN OF BARNES - WARD 1,1,314,21,10,473,370,
,BAYFIELD - TOWN OF BAYFIELD - WARD 1,1,294,18,4,433,303,
,BAYFIELD - TOWN OF BAYVIEW - WARD 1,,187,7,2,280,199,
,BAYFIELD - TOWN OF BELL - WARD 1,,127,5,6,168,121,
,BAYFIELD - TOWN OF CABLE - WARD 1,1,243,6,5,416,301,
,BAYFIELD - TOWN OF CLOVER - WARD 1,1,115,6,7,170,126,
,BAYFIELD - TOWN OF DELTA - WARD 1,,115,,3,183,141,
,BAYFIELD - TOWN OF DRUMMOND - WARD 1,,147,12,4,247,179,
,BAYFIELD - TOWN OF EILEEN - WARD 1,,103,7,4,243,170,
