,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
Precinct Name,Null,1,8,
,ADAMS - CITY OF ADAMS - WARD 1,20,,
,ADAMS - CITY OF ADAMS - WARD 2,17,,
,ADAMS - CITY OF ADAMS - WARD 3,8,,
,ADAMS - CITY OF ADAMS - WARD 4,7,,
,ADAMS - CITY OF WISCONSIN DELLS - WARD 5,1,,
,ADAMS - TOWN OF ADAMS - WARD 1,30,,
,ADAMS - TOWN OF ADAMS - WARD 2,11,,
,ADAMS - TOWN OF ADAMS - WARD 3,1,,
,ADAMS - TOWN OF BIG FLATS - WARD 1,10,,
,ADAMS - TOWN OF BIG FLATS - WARD 2,11,,
,ADAMS - TOWN OF COLBURN - WARD 1,11,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,16,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 2,32,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,3,,
,ADAMS - TOWN OF EASTON - WARD 1,24,,
,ADAMS - TOWN OF EASTON - WARD 2,24,,
,ADAMS - TOWN OF JACKSON - WARD 1,12,,
,ADAMS - TOWN OF JACKSON - WARD 2,17,,
,ADAMS - TOWN OF LEOLA - WARD 1,12,,
,ADAMS - TOWN OF LINCOLN - WARD 1,9,,
,ADAMS - TOWN OF MONROE - WARD 1,20,,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,11,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,15,,
,ADAMS - TOWN OF NEW CHESTER - WARD 3,1,,
,ADAMS - TOWN OF NEW HAVEN - WARD,25,,
,ADAMS - TOWN OF PRESTON - WARD 1,29,,
,ADAMS - TOWN OF PRESTON - WARD 2,24,,
,ADAMS - TOWN OF QUINCY - WARD 1,39,,
,ADAMS - TOWN OF QUINCY - WARD 2,8,,
,ADAMS - TOWN OF QUINCY - WARD 3,3,,
,ADAMS - TOWN OF RICHFIELD - WARD 1,8,,
,ADAMS - TOWN OF ROME - WARD 1,14,,
,ADAMS - TOWN OF ROME - WARD 2,11,,
,ADAMS - TOWN OF ROME - WARD 3,10,,
,ADAMS - TOWN OF ROME - WARD 4,14,,
,ADAMS - TOWN OF ROME - WARD 5,16,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,15,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,46,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 1,27,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 2,29,,
,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 3,2,,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,17,,
,ASHLAND - CITY OF ASHLAND - WARD 1,21,,
,ASHLAND - CITY OF ASHLAND - WARD 10,10,,
,ASHLAND - CITY OF ASHLAND - WARD 11,18,,
,ASHLAND - CITY OF ASHLAND - WARD 2,7,,
,ASHLAND - CITY OF ASHLAND - WARD 3,6,,
,ASHLAND - CITY OF ASHLAND - WARD 4,17,,
,ASHLAND - CITY OF ASHLAND - WARD 5,14,,
,ASHLAND - CITY OF ASHLAND - WARD 6,7,,
