,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,,15,5,6,21,12,
,ADAMS - CITY OF ADAMS - WARD 2,,,,,1,1,
,ADAMS - CITY OF ADAMS - WARD 3,,,,,1,,
,ADAMS - TOWN OF ADAMS - WARD 2,,1,,,1,1,
,ADAMS - TOWN OF EASTON - WARD 1,,7,,,6,3,
,ADAMS - TOWN OF EASTON - WARD 2,,1,,,,1,
,ADAMS - TOWN OF NEW CHESTER - WARD 1,,,,,3,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,1,,,2,2,
,ADAMS - TOWN OF QUINCY - WARD 1,,,,,1,1,
,ADAMS - TOWN OF SPRINGVILLE - WARD 1,,,,,1,1,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,1,,,4,3,
,ADAMS - VILLAGE OF FRIENDSHIP - WARD 1,,,,,1,,
,ASHLAND - CITY OF ASHLAND - WARD 1,,1,,,1,,
,ASHLAND - CITY OF MELLEN - WARD 1,,1,,,1,1,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,1,,,1,,
,ASHLAND - TOWN OF MORSE - WARD 1,,1,,,2,2,
,BARRON - CITY OF BARRON - WARD 1,,20,,,18,1,
,BARRON - CITY OF BARRON - WARD 2,,7,,,6,,
,BARRON - CITY OF BARRON - WARD 4,,2,,,1,,
,BARRON - CITY OF BARRON - WARD 5,,36,,,28,,
,BARRON - CITY OF BARRON - WARD 7,,5,,,3,,
,BARRON - CITY OF CUMBERLAND - WARD 4,,,,,1,1,
,BARRON - CITY OF RICE LAKE - WARD 12,,,1,,1,1,
,BARRON - TOWN OF CEDAR LAKE - WARD 1,,1,1,1,1,1,
,BARRON - VILLAGE OF CAMERON - WARD 1,,1,1,,1,1,
,BARRON - VILLAGE OF DALLAS - WARD 1,,1,,,1,,
,BARRON - VILLAGE OF TURTLE LAKE - WARD 1,,,,,1,,
,BAYFIELD - CITY OF BAYFIELD - WARD 3,,1,,1,1,1,
,BAYFIELD - TOWN OF BARKSDALE - WARD 1,,,,,2,,
,BAYFIELD - TOWN OF BARNES - WARD 1,,,1,1,1,1,
,BAYFIELD - TOWN OF CABLE - WARD 1,,1,,,1,,
,BROWN - CITY OF DE PERE - WARD 11,,,,,1,,
,BROWN - CITY OF DE PERE - WARD 14,,1,,,,,
,BROWN - CITY OF DE PERE - WARD 2,,1,,,2,1,
,BROWN - CITY OF DE PERE - WARD 3,,1,1,,1,1,
,BROWN - CITY OF DE PERE - WARD 8,,2,,,2,,
,BROWN - CITY OF DE PERE - WARD 9,,2,2,,2,1,
,BROWN - CITY OF GREEN BAY - WARD 10,,2,,,4,4,
,BROWN - CITY OF GREEN BAY - WARD 12,,1,,,1,1,
,BROWN - CITY OF GREEN BAY - WARD 13,,3,,,7,4,
,BROWN - CITY OF GREEN BAY - WARD 14,,1,,,1,1,
,BROWN - CITY OF GREEN BAY - WARD 15,,5,,,6,3,
,BROWN - CITY OF GREEN BAY - WARD 16,,5,,1,6,2,
,BROWN - CITY OF GREEN BAY - WARD 17,,1,,,1,,
,BROWN - CITY OF GREEN BAY - WARD 18,,1,,,1,1,
,BROWN - CITY OF GREEN BAY - WARD 19,,3,,,4,1,
,BROWN - CITY OF GREEN BAY - WARD 2,,2,,,2,2,
,BROWN - CITY OF GREEN BAY - WARD 20,,,,,1,,
,BROWN - CITY OF GREEN BAY - WARD 21,,,,,1,1,
,BROWN - CITY OF GREEN BAY - WARD 25,,5,,,5,5,
,BROWN - CITY OF GREEN BAY - WARD 26,,12,,1,13,4,
,BROWN - CITY OF GREEN BAY - WARD 28,,1,1,,2,,
,BROWN - CITY OF GREEN BAY - WARD 29,,1,,,1,1,
,BROWN - CITY OF GREEN BAY - WARD 3,,3,,,4,1,
