,,Voting Method,,,,,,
,,Null,Absentee,Early Vote,Mail,Polling,Unknown,
,,Count,Count,Count,Count,Count,Count,
Precinct Name,Null,,4,1,3,7,5,
,ADAMS - TOWN OF ADAMS - WARD 1,,,,,3,2,
,ADAMS - TOWN OF BIG FLATS - WARD 2,,,,,1,,
,ADAMS - TOWN OF COLBURN - WARD 1,,1,,,1,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 1,,1,,,1,,
,ADAMS - TOWN OF DELL PRAIRIE - WARD 3,,1,,,1,,
,ADAMS - TOWN OF EASTON - WARD 2,,1,,,2,1,
,ADAMS - TOWN OF JACKSON - WARD 1,,1,,,1,,
,ADAMS - TOWN OF NEW CHESTER - WARD 2,,2,,,4,,
,ADAMS - TOWN OF PRESTON - WARD 1,,1,,,1,1,
,ADAMS - TOWN OF QUINCY - WARD 1,,2,,,4,1,
,ADAMS - TOWN OF ROME - WARD 4,,1,,,1,1,
,ADAMS - TOWN OF ROME - WARD 5,,1,,,,,
,ADAMS - TOWN OF SPRINGVILLE - WARD 2,,1,,,1,1,
,ASHLAND - CITY OF ASHLAND - WARD 4,,1,,,,1,
,ASHLAND - CITY OF ASHLAND - WARD 5,,1,,,1,,
,ASHLAND - CITY OF ASHLAND - WARD 7,,1,,,,,
,ASHLAND - CITY OF ASHLAND - WARD 8,,1,,,1,,
,ASHLAND - CITY OF ASHLAND - WARD 9,,3,,,3,3,
,ASHLAND - TOWN OF JACOBS - WARD 1,,,,1,,,
,ASHLAND - TOWN OF LA POINTE - WARD 1,,7,,1,7,1,
,ASHLAND - TOWN OF SANBORN - WARD 2,,3,,,8,4,
,ASHLAND - TOWN OF WHITE RIVER - WARD 1,,,,,1,1,
,BARRON - CITY OF BARRON - WARD 1,,1,,,2,,
,BARRON - CITY OF BARRON - WARD 4,,,,,2,1,
,BARRON - CITY OF BARRON - WARD 5,,2,,,1,,
,BARRON - CITY OF CHETEK - WARD 4,,1,1,1,1,,
,BARRON - CITY OF CUMBERLAND - WARD 1,,,,,1,,
,BARRON - CITY OF CUMBERLAND - WARD 2,,2,,,2,1,
,BARRON - CITY OF RICE LAKE - WARD 2,,1,,,1,,
,BARRON - CITY OF RICE LAKE - WARD 3,,,,,2,,
,BARRON - CITY OF RICE LAKE - WARD 8,,,,,1,,
,BARRON - CITY OF RICE LAKE - WARD 9,,1,,,1,1,
,BARRON - TOWN OF CUMBERLAND - WARD 1,,1,,,1,1,
,BARRON - TOWN OF LAKELAND - WARD 2,,1,,,1,1,
,BARRON - TOWN OF PRAIRIE LAKE - WARD 1,,,,,1,1,
,BARRON - TOWN OF RICE LAKE - WARD 1,,,,,1,,
,BARRON - TOWN OF RICE LAKE - WARD 3,,1,,,1,,
,BARRON - TOWN OF RICE LAKE - WARD 4,,1,,,1,,
,BARRON - TOWN OF STANFOLD - WARD 1,,,,,1,,
,BARRON - VILLAGE OF PRAIRIE FARM - WARD 1,,1,,,1,1,
,BAYFIELD - CITY OF WASHBURN - WARD 2,,1,,,1,1,
,BAYFIELD - CITY OF WASHBURN - WARD 4,,4,,,4,1,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,,1,,,1,1,
,BAYFIELD - TOWN OF TRIPP - WARD 1,,,1,,1,1,
,BROWN - CITY OF DE PERE - WARD 1,,3,1,1,3,1,
,BROWN - CITY OF DE PERE - WARD 10,,5,,,7,3,
,BROWN - CITY OF DE PERE - WARD 11,,4,,,3,,
,BROWN - CITY OF DE PERE - WARD 12,,2,,,4,1,
,BROWN - CITY OF DE PERE - WARD 14,,,,,3,2,
,BROWN - CITY OF DE PERE - WARD 15,,1,,,1,1,
,BROWN - CITY OF DE PERE - WARD 2,,4,,,4,1,
,BROWN - CITY OF DE PERE - WARD 3,,3,,,3,1,
,BROWN - CITY OF DE PERE - WARD 4,,5,,,5,1,
