"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","total_pop","pop_ppsm","area_miles","male_pop","male5under","male5to9pop","male10to14pop","male15to17pop","male18to24pop","male25to34pop","male35to44pop","male45to54pop","male55to64pop","male65to74pop","male75to84pop","male85over_pop","female_pop","female5under","female5to9pop","female10to14pop","female15to17pop","female18to24pop","female25to34pop","female35to44pop","female45to54pop","female55to64pop","female65to74pop","female75to84pop","female85over_pop","pop25over","less_than_hs","high_school","some_college","college_degree","masters_degree","prof_degree","phd_degree","gini_index","male_pct","female_pct","age18underpct","age18to24pct","age25to34pct","age35to44pct","age45to54pct","age55to64pct","age65to74pct","age75to84pct","age85over_pct","white_pct","black_pct","asianpi_pct","hispanic_pct","other_pct","less_than_hs_pct","high_school_pct","some_college_pct","college_degree_pct","masters_degree_pct","prof_degree_pct","phd_degree_pct"
1001,"05000US01001","Autauga County","Autauga County, Alabama","al",55200,92.85992,594.443748774126,26874,1789,2021,1754,1256,2465,3402,3568,3836,3295,2083,1058,347,28326,1474,1988,1816,1271,2200,3662,3806,4017,3530,2628,1466,468,37166,4204,12119,10552,5903,3406,510,472,0.4602,48.6847826086957,51.3152173913043,12.3550724637681,8.45108695652174,12.7971014492754,13.3586956521739,14.2264492753623,12.3641304347826,8.53442028985507,4.57246376811594,1.47644927536232,75.0217391304348,19.1394927536232,1.08695652173913,2.76811594202899,9.61594202898551,11.3114136576441,32.6077597804445,28.3915406554378,15.882796103966,9.16428994242049,1.3722219232632,1.26997793682398
1003,"05000US01003","Baldwin County","Baldwin County, Alabama","al",208107,130.9019,1589.79375657339,101188,5855,5551,7544,4134,7820,11578,12325,13755,13756,11650,5751,1469,106919,5754,6138,6779,3922,7621,11748,13052,14575,15535,12901,6414,2480,146989,14310,40579,46025,30431,11338,2992,1314,0.4609,48.6230640968348,51.3769359031652,11.0923707515845,7.41974080641209,11.2086570850572,12.1942077873402,13.6131893689304,14.0749710485471,11.7972965830078,5.84555060617855,1.89758153257699,83.018831658714,9.49703758162868,0.811601724113076,4.49432263210752,12.6862623554229,9.73542237854533,27.6068277218023,31.311866874392,20.7029097415453,7.71350237092572,2.03552646796699,0.893944444822402
1005,"05000US01005","Barbour County","Barbour County, Alabama","al",25782,29.13214,885.00203089744,13697,717,671,912,474,1232,2277,1869,1873,1668,1293,602,109,12085,673,779,765,445,941,1398,1235,1579,1640,1527,790,313,18173,4901,6486,4566,1417,606,92,105,0.4731,53.1262120859514,46.8737879140486,10.7594445737336,8.42836087192615,14.2541307889225,12.0394073384532,13.3891862539756,12.8306570475526,10.9378636257854,5.39911566208983,1.63680086882321,46.1484756807075,47.575828097122,0.376231479326662,4.28981459933287,12.1635249398805,26.9685797611842,35.6903098002531,25.1251857150718,7.79728168161558,3.33461728938535,0.506245529081605,0.577780223408353
1007,"05000US01007","Bibb County","Bibb County, Alabama","al",22527,36.1902,622.46134885567,12152,692,651,690,541,1137,1894,1654,1887,1373,1120,406,107,10375,583,527,599,376,951,1181,1241,1552,1337,1002,706,320,15780,2650,7471,3846,1197,442,87,87,0.4294,53.9441559018067,46.0558440981933,11.4262884538554,9.26887734718338,13.650286323079,12.8512451724597,15.2661250943312,12.0300084343233,9.41980734230035,4.93629866382563,1.89550317396901,74.5816131753008,22.2754916322635,0.164247347627292,2.42819727438185,6.19256891729924,16.7934093789607,47.3447401774398,24.3726235741445,7.58555133079848,2.80101394169835,0.551330798479087,0.551330798479087
1009,"05000US01009","Blount County","Blount County, Alabama","al",57645,89.39555,644.830762150249,28434,1813,1693,2118,1215,2440,3344,3584,4001,3686,2844,1305,391,29211,1672,1939,1877,1141,2110,3442,3569,3946,3822,3288,1930,475,39627,7861,13489,13267,3217,1405,240,148,0.4331,49.3260473588342,50.6739526411658,11.8639951426837,7.89313904068002,11.7720530835285,12.4087084742822,13.7861046057767,13.0245467950386,10.6375227686703,5.61193512013184,1.50229855147888,87.1402550091075,1.49535952814641,0.374707259953162,9.12655043802585,21.7677161939457,19.8374845433669,34.0399222752164,33.4796981855805,8.1182022358493,3.54556236909178,0.605647664471194,0.373482726423903
1011,"05000US01011","Bullock County","Bullock County, Alabama","al",10352,16.62156,622.805665508875,5663,317,358,247,214,703,712,911,740,776,508,172,5,4689,279,276,293,166,395,408,688,582,671,503,258,170,7104,1760,2817,1582,526,229,142,48,0.5174,54.7044049459042,45.2955950540958,10.9737248840804,10.6066460587326,10.8191653786708,15.4462905718702,12.7704791344668,13.9779752704791,9.76622874806801,4.15378670788254,1.69049459041731,21.5224111282844,76.2461360123648,0.540958268933539,0.492658423493045,2.20247295208655,24.7747747747748,39.6537162162162,22.2691441441441,7.40427927927928,3.22353603603604,1.99887387387387,0.675675675675676
1013,"05000US01013","Butler County","Butler County, Alabama","al",20025,25.77756,776.838564503002,9368,595,683,706,417,784,1136,1109,1078,1305,976,376,203,10657,610,610,568,377,787,1288,1292,1349,1525,1105,792,354,13888,2141,6091,3421,1344,655,136,100,0.4708,46.7815230961298,53.2184769038702,11.9900124843945,7.84519350811486,12.1048689138577,11.9900124843945,12.1198501872659,14.1323345817728,10.3920099875156,5.83270911360799,2.78152309612984,51.8551810237204,45.2184769038702,1.15355805243446,0.33458177278402,3.77028714107366,15.4161866359447,43.8580069124424,24.6327764976959,9.67741935483871,4.71630184331797,0.97926267281106,0.720046082949309
1015,"05000US01015","Calhoun County","Calhoun County, Alabama","al",115098,189.9722,605.867529888169,55315,3198,3488,3720,2414,5418,7313,6693,7291,7557,5288,2332,603,59783,3364,3356,3438,2218,5349,7704,7152,7667,8372,6201,3515,1447,79135,12620,25653,26643,8060,4372,987,800,0.4676,48.0590453352795,51.9409546647205,11.1383342890406,9.35463691810457,13.0471424351422,12.0288797372674,12.9958817703175,13.8395106778571,9.9819284435872,5.08001876661627,1.78109089645346,72.4799735877252,20.5702966167961,0.933117864776104,3.65167075014336,11.86206537038,15.9474316042206,32.4167561761547,33.6677829026347,10.1851266822518,5.52473621027358,1.24723573639982,1.0109306880647
1017,"05000US01017","Chambers County","Chambers County, Alabama","al",33826,56.70167,596.560898351653,16257,978,925,1030,640,1827,1657,1903,2306,2280,1716,782,213,17569,972,803,1069,589,1429,2034,2070,2342,2563,2059,1150,489,23564,4383,9060,7003,2200,602,245,71,0.4568,48.0606633950216,51.9393366049784,10.5628806243718,9.62573168568557,10.9117247088039,11.7454029444806,13.7409093596642,14.3173889907172,11.1600543960267,5.71158280612547,2.07532667179093,55.7914030627328,39.3750369538225,1.19730384911015,2.27044285460888,6.98575060604269,18.6004074011204,38.448480733322,29.7190629774232,9.33627567475811,2.55474452554745,1.03972160923443,0.301307078594466
1019,"05000US01019","Cherokee County","Cherokee County, Alabama","al",25853,46.7061,553.52507270304,12820,670,657,802,524,1036,1249,1471,1856,1944,1646,840,125,13033,534,813,718,568,858,1280,1446,1786,2020,1780,876,354,18673,3692,7157,5417,1273,665,358,111,0.4539,49.588055544811,50.411944455189,10.2618651607164,7.32603566317255,9.7822303020926,11.2830232468186,14.0873399605462,15.3328433837466,13.251846981008,6.63752755966425,1.85278304258693,91.7881870575949,4.90078520867984,0.212741267937957,1.53947317526012,5.27598344486133,19.7718631178707,38.3280672628929,29.009800246345,6.81732983452043,3.56129170460023,1.91720666202538,0.594441171745301
